id,property_name,avg_price_per_night,guests,bedrooms,beds,baths,reviews,Rating,Ocupação,Receita Bruta
22205836,Single Level - No Carpet - Gated Community! (4695),$99.00,8,3,4,2,22,5,78.67%,"$28,426.20"
1772507,SUNSET LAKE ASK FOR SPECIAL $,$115.00,6,3,4,2,46,5,79.67%,"$33,440.08"
1816829,3BR Villa near Disney@7D from $95nt,$95.00,6,3,4,2,117,4.5,76.08%,"$26,381.90"
7591082,$149+ pool and lake view by Disney,$149.00,6,3,4,2,107,5,78.00%,"$42,420.30"
20480676,Vista Bay Villa,$95.00,6,3,4,2,42,5,79.00%,"$27,393.25"
18652692,Beautiful Hollywood Style home next to Disney,$145.00,7,3,4,2.5,40,5,77.58%,"$41,060.98"
3696964,3 BED/2BATH LAKE VIEW CONDO - VISTA CAY (1005),$169.00,7,3,4,2,70,5,75.83%,"$46,777.79"
10442883,OCCC Home 4-3-2 Walk to Publix Walk to Pool/Hoops,$91.00,8,3,4,2,162,5,82.67%,"$27,457.73"
17455140,Convention Center Classic in Luxury Resort wlk2mkt,$55.00,8,3,4,2,66,5,79.33%,"$15,926.17"
1700198,Beautiful Resort Condo,$70.00,7,3,4,2,201,5,82.58%,"$21,100.04"
1728673,REUNION RESORT LUXURIOUS VACATION,$85.00,8,3,4,2.5,74,4.5,75.00%,"$23,268.75"
6133023,3-story townhome sleeps up to 10!!!,$123.00,10,3,4,3.5,64,5,74.92%,"$33,633.84"
6184085,Fantastic 3BR condo close to pool!!,$119.00,8,3,4,2,75,5,75.83%,"$32,938.21"
8185243,Modern design for a luxurious stay,$108.00,6,3,4,2,50,5,84.08%,"$33,145.65"
8552155,3BR/2BA 1st floor condo sleeps 10!,$150.00,10,3,4,2,52,5,82.25%,"$45,031.88"
11336987,"Charming 3BR, 2BA Orlando Condo!!!!",$107.00,8,3,4,2,40,5,81.25%,"$31,732.19"
2411447,Vista Cay Townhome 4 BED 3 BATH,$128.00,8,3,4,3.5,108,5,85.42%,"$39,906.67"
11187399,4 MIN TO CON. CENTER + FREE PRK/WIFI/POOL#26109,$160.00,10,3,4,2,63,5,78.83%,"$46,038.67"
2887828,"$139+ for 6, private pool by Disney",$139.00,6,3,4,2,132,5,81.33%,"$41,264.47"
