id,property_name,avg_price_per_night,guests,bedrooms,beds,baths,reviews,Rating,Ocupação,Receita Bruta
19437507,"Vacation town home, minutes away from Disney.",135.00,7.00,3.00,5.00,2.50,44.00,5.00,0.79,39050.44
14072047,3 mi to Disney!*Spacious 3BR/2BA+Loft Resort Condo,92.00,8.00,3.00,5.00,2.00,45.00,5.00,0.81,27339.72
13651273,Cancelled #17,133.00,10.00,3.00,5.00,2.00,5.00,4.50,0.82,39847.35
6223609,3 bed/2.5 bath & hot tub by Disney,106.00,8.00,3.00,5.00,2.50,105.00,5.00,0.80,30855.28
5597793,Villa near Disney with heated pool,100.00,6.00,3.00,5.00,2.00,18.00,5.00,0.83,30264.58
21380410,"Lucaya Village, close to Disney",130.00,8.00,3.00,5.00,2.00,19.00,5.00,0.82,38790.38
9532579,Vista Cay Lake view 3B condo #3091; Vista Cay Lake view 3B condo #3091,135.00,8.00,3.00,5.00,2.00,91.00,5.00,0.79,39132.56
10072054,Vacation Home near Disney,95.00,6.00,3.00,5.00,2.50,70.00,5.00,0.82,28289.02
12048256,Disney Universal Convention Center - Renewed,112.00,8.00,3.00,5.00,2.00,90.00,5.00,0.77,31579.80
3903420,Best place for vacation or business,134.00,6.00,3.00,5.00,3.50,122.00,5.00,0.81,39372.55
14664694,Luxury Townhouse near Disney,89.00,8.00,3.00,5.00,2.50,22.00,5.00,0.79,25500.73
16268160,Disney area 3 Bedroom 2 Bath-Private Pool - 5371,139.00,8.00,3.00,5.00,2.00,27.00,5.00,0.75,38008.97
18367561,"Regal Oaks-Olga,3 brs. Enjoy your private jacuzzi!",98.00,8.00,3.00,5.00,2.50,59.00,5.00,0.82,29391.02
20661704,"Family Friendly Villa, Disney, Universal, Orlando",89.00,6.00,3.00,5.00,2.00,39.00,5.00,0.80,25852.65
6722442,Fantastic 3 Bed/2 Bath Condo!,117.00,8.00,3.00,5.00,2.00,65.00,5.00,0.79,33879.30
16487922,Entire Home Relax in walking distance to downtown,80.00,7.00,3.00,5.00,1.00,163.00,5.00,0.74,21510.67
19483578,Cozy family house with private pool.,90.00,6.00,3.00,5.00,2.50,28.00,5.00,0.79,25978.88
19874111,Disney House by Harry Potter - 01,109.00,8.00,3.00,5.00,2.00,50.00,5.00,0.81,32026.93
23861616,Luxury Home in Disney Area,125.00,10.00,3.00,5.00,2.00,24.00,5.00,0.73,33344.27
6054968,Vista Cay Townhome 3BR,120.00,8.00,3.00,5.00,3.50,78.00,5.00,0.80,34967.00
20000018,MyRental Property 31,119.00,8.00,3.00,5.00,2.00,22.00,4.50,0.80,34530.83
20000030,MyRental Property 19,122.00,8.00,3.00,5.00,2.00,43.00,4.50,0.76,33879.91
20000043,MyRental Property 06,122.00,10.00,3.00,5.00,2.00,30.00,4.50,0.80,35661.11
16186354,Cozy for Family Vacation WL8988,117.00,8.00,3.00,7.00,2.00,15.00,5.00,0.86,36583.95
13556938,Disney Townhome,75.00,8.00,3.00,6.00,2.50,80.00,4.50,0.77,21192.81
1734922,"Florence, Lake Berkley Resort - 3br",71.00,6.00,3.00,6.00,2.50,203.00,5.00,0.78,20170.51
16933178,Runaway2 Great 3 bd Gated Luxury Minutes to Disney,85.00,10.00,3.00,6.00,2.00,67.00,4.00,0.76,23630.71
73009,Villas at Seven Dwarfs 24,80.00,8.00,3.00,6.00,2.00,159.00,4.50,0.81,23700.67
22317216,Florida Fun in the Disney/Universal Parks Area,100.00,10.00,3.00,6.00,2.00,35.00,4.50,0.81,29565.00
5311851,COZY VILLA AT THE HEART OF DISNEY,92.00,8.00,3.00,6.00,2.00,51.00,4.50,0.84,28347.12
12973790,Terra Verde Home Near Disney!(4764),78.00,8.00,3.00,6.00,2.50,66.00,4.50,0.80,22776.00
19489509,Nautical themed Venetian Bay Village Disney World,90.00,7.00,3.00,6.00,2.00,87.00,5.00,0.78,25486.13
11472197,WONDERFUL HOUSE NEXT TO DISNEY TERRAVERDE RESORT,91.00,8.00,3.00,6.00,2.50,92.00,4.50,0.73,24385.35
2078529,DISNEY-Lakefront-Upgraded-Private Pool★★★,99.00,8.00,3.00,6.00,2.50,51.00,5.00,0.75,27161.48
13829391,Convention Center Close - 3BR 6beds,99.00,10.00,3.00,6.00,3.50,91.00,5.00,0.80,28877.89
19626737,Tideview Townhome Convention Center,115.00,10.00,3.00,6.00,3.50,49.00,5.00,0.75,31446.27
15002172,Casa ao lado da Disney - 3 minutos - House Disney,59.00,8.00,3.00,6.00,3.00,44.00,5.00,0.79,16904.98
10465663,3/2 Magical Tuscan Experience,89.00,6.00,3.00,6.00,2.00,91.00,5.00,0.85,27449.83
23407063,Luxury Home Disney and Universal Studio,89.00,8.00,3.00,6.00,3.00,18.00,5.00,0.79,25663.15
5796419,AMAZING RESORT HOUSE NEXT to DISNEY,87.00,8.00,3.00,6.00,2.50,152.00,5.00,0.78,24848.29
19364079,COSTAL Venetian Bay Village condo -Disney World!!,90.00,10.00,3.00,7.00,2.00,70.00,5.00,0.79,25842.00
2332809,House Disney in Orlando / Vacation,51.00,9.00,3.00,7.00,3.00,66.00,5.00,0.78,14488.68
6378125,YOUR SWEET HOME VACATIONS AREA DISNEY.,80.00,8.00,3.00,7.00,2.00,38.00,5.00,0.75,22021.67
20087984,Large Resort Condo Near Disney.,96.00,10.00,3.00,7.00,2.00,49.00,5.00,0.80,27944.40
12666575,Home Near Disney! (10-105),121.00,10.00,3.00,7.00,2.00,61.00,5.00,0.84,37024.99
22960381,*NEWLY RENOVATED* Chic Disney Vacation Home w/POOL,129.00,10.00,3.00,7.00,2.00,26.00,5.00,0.79,37354.10
13016339,6bds/3BR/3Fl/3.5ba Convention Ctr/Shingle Creek,99.00,10.00,3.00,8.00,3.50,98.00,5.00,0.78,28064.85
15966051,"3 BEDROOMS 2 HEADS, STYLISH, CLOSE TO DISNEY",82.00,10.00,3.00,10.00,2.00,32.00,5.00,0.75,22522.33
18132228,Nova casa disney ate 12 pessoas - new house up 12,49.00,12.00,3.00,10.00,2.50,26.00,5.00,0.82,14576.28
2755158,South Facing Pool / Spa / Games Room /WiFi & Cable,135.00,10.00,4.00,4.00,3.00,33.00,5.00,0.76,37243.69
19653840,4 Bedroom/3 Bathroom Crystal Cove (1044TD),142.00,8.00,4.00,4.00,3.00,20.00,4.50,0.80,41204.85
3050658,Best vacation spot next to DISNEY!!,91.00,8.00,4.00,4.00,3.00,97.00,4.50,0.72,24025.52
9294964,Bella Vida Dream,125.00,8.00,4.00,4.00,3.00,42.00,5.00,0.79,35853.65
15542607,LUXURY 4 BED 3 BATH TOWNHOUSE NEAR DISNEY,150.00,8.00,4.00,5.00,3.00,44.00,5.00,0.87,47678.13
5394508,4BR/3BA /rent a dream townhouse,100.00,8.00,4.00,5.00,3.00,31.00,4.50,0.79,28652.50
9625698,Storey Lake Resort Townhome with private pool,115.00,10.00,4.00,5.00,3.00,74.00,4.50,0.81,33964.77
3051708,Family Vacation Home in Gated Resort /Private Pool,108.00,9.00,4.00,5.00,3.00,51.00,4.50,0.80,31470.30
16283846,House 7 minutes from Disney and Out Let,125.00,8.00,4.00,5.00,3.00,41.00,5.00,0.81,36994.27
15780218,Villa near Disney 4Bd Luxury Villa Private pool,105.00,8.00,4.00,5.00,4.00,50.00,5.00,0.82,31522.31
11284092,"Big Villa, Heated Pool 9ms Disney",129.00,10.00,4.00,5.00,3.00,59.00,5.00,0.81,37981.90
172917,Beautiful 4br condo min from Disney,70.00,10.00,4.00,5.00,3.00,90.00,5.00,0.76,19332.83
20652342,SPECIAL OFFER Storey Lake 4Bd&3Ba+Pool Lake JN4903,149.00,8.00,4.00,5.00,3.00,40.00,5.00,0.76,41332.60
4512108,Veranda Palms Luxurious Home w/Pool & NEAR DISNEY,110.00,8.00,4.00,5.00,3.00,118.00,5.00,0.81,32354.21
16743627,3078 Great 4 Bedroom w/Clubhouse and Private Pool,129.00,9.00,4.00,5.00,3.00,64.00,5.00,0.80,37824.95
